country,mean_pagerank,mean_betweeness_centrality,number_of_companies,group_betweeness_centrality,d_aspl,d_cc,disconnections,Alpha-2 code,Alpha-3 code,region,macro_region
Australia,0.001042225367,0.004015633857,9,0.02166978248,inf,4,3,AU,AUS,Australia and New Zealand,Oceania
Austria,0.001264025219,0.001456598536,3,0.0006219201588,0.0008056971749,1,0,AT,AUT,Europe West,Europe
Belgium,0.0002642168106,0,11,0.000000291,0.0005134716124,1,0,BE,BEL,Europe West,Europe
Bermuda,0.003079171503,0,1,0.0003329990329,0.0004908454728,1,0,BM,BMU,America North,America North
Bosnia and Herzegovina,0.000172335729,0,1,-1.98E-19,0.0003543101988,1,0,BA,BIH,Europe South,Europe
Brazil,0.000535561638,0.0004564777832,34,0.005505545827,inf,2,1,BR,BRA,America Latin and Caribbean,America Latin and Caribbean
Bulgaria,0.000172335729,0,2,0,-0.0002854145748,1,0,BG,BGR,Europe East,Europe
Canada,0.0006400578473,0.000205361077,23,0.008560742003,inf,4,1,CA,CAN,America North,America North
Cayman Islands,0.0004816673196,0,18,0.00000388,-0.0008130529647,1,0,KY,CYM,America Latin and Caribbean,America Latin and Caribbean
China,0.0005754654734,0.0002106369121,914,0.05641242295,inf,23,21,CN,CHN,Asia East,Asia
Croatia,0.000172335729,0,3,3.95E-19,0.0003821390445,1,0,HR,HRV,Europe South,Europe
Czech Republic,0.0004455643174,0.0000946,24,0.001500658399,0.004143251339,1,0,CZ,CZE,Europe East,Europe
Egypt,0.000172335729,0,5,0.00000157,0.001787103995,1,0,EG,EGY,Africa North,Africa
Estonia,0.002299736336,0.001648148358,1,0.0002316320209,0.0004699738385,1,0,EE,EST,Europe North,Europe
Finland,0.001093328481,0.00185558499,8,0.01643094734,inf,7,6,FI,FIN,Europe North,Europe
France,0.0007005128272,0.000295748784,31,0.01116185685,inf,7,5,FR,FRA,Europe West,Europe
Germany,0.0004643101961,0.000104027979,53,0.007806424603,inf,4,3,DE,DEU,Europe West,Europe
Greece,0.000172335729,0,3,-3.96E-19,0.0007090384325,1,0,GR,GRC,Europe South,Europe
"Hong Kong SAR, China",0.0008208885196,0.0005092408476,16,0.003120636336,inf,2,1,HK,HKG,Asia East,Asia
Hungary,0.0004422482012,0.000000078,17,0.0001467344623,0.002620753531,1,0,HU,HUN,Europe East,Europe
India,0.0002690431976,0.000000421,16,0,-0.0007315571423,1,0,IN,IND,Asia South,Asia
Indonesia,0.002852695293,0.001166357889,1,0.001368881352,0.0005351976955,1,0,ID,IDN,Asia South-East,Asia
Ireland,0.0002472147767,0.00000143,1,0.00000736,0.0003899659073,1,0,IE,IRL,Europe North,Europe
Israel,0.0005735690505,0.0000821,14,0.001388278065,inf,2,1,IL,ISR,Asia West,Asia
Italy,0.0005305157005,0.0001013670553,30,0.001657922472,inf,2,1,IT,ITA,Europe South,Europe
Japan,0.001330337699,0.001439333523,337,0.8804533078,inf,524,500,JP,JPN,Asia East,Asia
Malaysia,0.0005579668988,0.000383200286,43,0.006317929724,inf,3,2,MY,MYS,Asia South-East,Asia
Mexico,0.0008236060668,0.0000746,7,0.001299467806,0.000750955471,1,0,MX,MEX,America Latin and Caribbean,America Latin and Caribbean
Morocco,,,1,,,,,MA,MAR,Africa North,Africa
Netherlands,0.002613694886,0.001047025302,3,0.00287855298,inf,2,0,NL,NLD,Europe West,Europe
New Zealand,,,2,,,,,NZ,NZL,Australia and New Zealand,Oceania
Norway,0.0005908589022,0.0002569819965,5,0.002641134824,inf,3,2,NO,NOR,Europe North,Europe
Philippines,0.0003954947303,0.0001376838136,17,0.005241691624,inf,4,3,PH,PHL,Asia South-East,Asia
Poland,0.0009648498286,0,2,0,0.0007342916174,1,0,PL,POL,Europe East,Europe
Ponce Municipio (United States of America),0.0002828432711,0.001024884206,1,0.0000233,0.0003908355587,1,0,PR,PRI,America Latin and Caribbean,America Latin and Caribbean
Republic of Korea,0.0003890445434,0.0002807248166,267,0.05205551668,inf,22,21,KR,KOR,Asia East,Asia
Romania,0.001834065968,0.003631495332,6,0.02007973474,inf,11,10,RO,ROU,Europe East,Europe
Russian Federation,0.0003541536669,0.0006529070082,79,0.04795060067,inf,24,22,RU,RUS,Europe East,Europe
Serbia,0.0006613679443,0.0000169,3,0.0000127,0.0001277113343,1,0,RS,SRB,Europe South,Europe
Singapore,0.001287279433,0.0002263897151,40,0.01663695508,inf,5,4,SG,SGP,Asia South-East,Asia
Slovakia,0.0002341882421,0.0000136,2,0.0000204,0.0007543200055,1,0,SK,SVK,Europe East,Europe
Slovenia,0.000172335729,0,1,-1.98E-19,0.0003543101988,1,0,SI,SVN,Europe South,Europe
South Africa,0.000172335729,0,1,0.00000231,-0.0009084236722,1,0,ZA,ZAF,Africa Sub-Sahara,Africa
Spain,0.0002029249305,0.00000000586,19,0.00000105,0.004351574725,1,0,ES,ESP,Europe South,Europe
Sweden,0.0009598884769,0.001952495966,12,0.00836179771,inf,3,2,SE,SWE,Europe North,Europe
Switzerland,0.0003229304244,0.000716,3,0.0005724583677,0.0002428087093,1,0,CH,CHE,Europe West,Europe
"Taiwan, China",0.000448131568,0.0001037003155,200,0.01247141315,inf,8,7,TW,TWN,Asia East,Asia
Thailand,0.0005634017597,0.000000202,15,0.0002399885901,0.002161593637,1,0,TH,THA,Asia South-East,Asia
Turkey,0.000172335729,0,5,-3.96E-19,0.0007090384325,1,0,TR,TUR,Asia West,Asia
Ukraine,0.000172335729,0,2,-3.96E-19,0.0007090384325,1,0,UA,UKR,Europe East,Europe
United Kingdom,0.0007883131651,0.0005233840666,42,0.01177417672,inf,3,2,GB,GBR,Europe North,Europe
United States of America,0.0005090301095,0.0002705984737,575,0.1112814211,inf,32,27,US,USA,America North,America North
Uzbekistan,0.000172335729,0,1,-1.98E-19,0.0003543101988,1,0,UZ,UZB,Asia Central,Asia
Vietnam,0.0003667152614,0.00000822,47,0.002145656486,inf,2,1,VN,VNM,Asia South-East,Asia
Virgin Islands (British),,,2,,,,,VG,VGB,America Latin and Caribbean,America Latin and Caribbean
